Code,Title,Category,Name,Variant Name,Price,In Stock,URL
audrina-cardigan-black,$49 And Under Sweaters,$49 And Under Sweaters,Audrina Cardigan - Black,0,109.00,True,https://petalandpup.com/products/audrina-cardigan-black
layah-knit-beige,$49 And Under Sweaters,$49 And Under Sweaters,Layah Knit Sweater - Beige,XS/S,48.97,True,https://petalandpup.com/products/layah-knit-beige
brianna-mockneck-knit-sweater-heather-grey,$49 And Under Sweaters,$49 And Under Sweaters,Brianna Mockneck Knit Sweater - Heather Grey,XS,48.97,False,https://petalandpup.com/products/brianna-mockneck-knit-sweater-heather-grey
millie-large-check-cardigan-multi,$49 And Under Sweaters,$49 And Under Sweaters,Millie Large Check Cardigan - Multi,XS,69.00,True,https://petalandpup.com/products/millie-large-check-cardigan-multi
hazel-knit-sweater-cream,$49 And Under Sweaters,$49 And Under Sweaters,Hazel Knit Sweater - Cream,XS,34.97,True,https://petalandpup.com/products/hazel-knit-sweater-cream
london-knit-beige,$49 And Under Sweaters,$49 And Under Sweaters,London Knit Sweater - Beige,XS/S,55.97,False,https://petalandpup.com/products/london-knit-beige
gia-sweatheart-neck-bell-sleeve-knit-sweater-light-grey,$49 And Under Sweaters,$49 And Under Sweaters,Gia Sweetheart Neck Bell Sleeve Knit Sweater - Light Grey,XS,34.97,False,https://petalandpup.com/products/gia-sweatheart-neck-bell-sleeve-knit-sweater-light-grey
zimmer-cardigan-grey,$49 And Under Sweaters,$49 And Under Sweaters,Zimmer Cardigan - Grey,0,89.00,True,https://petalandpup.com/products/zimmer-cardigan-grey
london-knit-emerald,$49 And Under Sweaters,$49 And Under Sweaters,London Knit Sweater - Emerald,XS/S,55.97,True,https://petalandpup.com/products/london-knit-emerald
blakey-cardigan-cream,$49 And Under Sweaters,$49 And Under Sweaters,Blakey Cardigan - Cream,S,34.97,False,https://petalandpup.com/products/blakey-cardigan-cream
blakey-cardigan-grey,$49 And Under Sweaters,$49 And Under Sweaters,Blakey Cardigan - Grey,S,48.97,False,https://petalandpup.com/products/blakey-cardigan-grey
madalyn-knit-sweater-white,$49 And Under Sweaters,$49 And Under Sweaters,Madalyn Knit Sweater - White,2,41.97,True,https://petalandpup.com/products/madalyn-knit-sweater-white
carly-collar-knit-sweater-oatmeal,$49 And Under Sweaters,$49 And Under Sweaters,Carly Collar Knit Sweater - Oatmeal,XS,34.97,True,https://petalandpup.com/products/carly-collar-knit-sweater-oatmeal
janiyah-star-knit-sweater-grey-black,$49 And Under Sweaters,$49 And Under Sweaters,Janiyah Star Knit Sweater - Grey Black,S,48.97,False,https://petalandpup.com/products/janiyah-star-knit-sweater-grey-black
catalina-polka-dot-texture-knit-sweater-ivory,$49 And Under Sweaters,$49 And Under Sweaters,Catalina Polka Dot Texture Knit Sweater - Ivory,S,35.97,False,https://petalandpup.com/products/catalina-polka-dot-texture-knit-sweater-ivory
liv-chain-detail-knit-sweater-blue,$49 And Under Sweaters,$49 And Under Sweaters,Liv Chain Detail Knit Sweater - Blue,S,41.97,False,https://petalandpup.com/products/liv-chain-detail-knit-sweater-blue
christie-fringe-knit-sweater-cream,$49 And Under Sweaters,$49 And Under Sweaters,Christie Fringe Knit Sweater - Cream,XS,47.97,True,https://petalandpup.com/products/christie-fringe-knit-sweater-cream
chandler-knit-sweater-grey-white,$49 And Under Sweaters,$49 And Under Sweaters,Chandler Knit Sweater - Grey White,S/M,59.00,True,https://petalandpup.com/products/chandler-knit-sweater-grey-white
annette-frilled-knit-sweater-ivory,$49 And Under Sweaters,$49 And Under Sweaters,Annette Frilled Knit Sweater - Ivory,XS,55.97,True,https://petalandpup.com/products/annette-frilled-knit-sweater-ivory
daisy-cardigan-green,$49 And Under Sweaters,$49 And Under Sweaters,Daisy Cardigan - Green,XS/S,69.00,False,https://petalandpup.com/products/daisy-cardigan-green
brianna-mockneck-knit-sweater-beige,$49 And Under Sweaters,$49 And Under Sweaters,Brianna Mockneck Knit Sweater - Beige,XS,48.97,True,https://petalandpup.com/products/brianna-mockneck-knit-sweater-beige
miranda-knit-sweater-navy,$49 And Under Sweaters,$49 And Under Sweaters,Miranda Knit Sweater - Navy,XS/S,79.00,False,https://petalandpup.com/products/miranda-knit-sweater-navy
pumpkin-spice-knit-sweater-oatmeal,$49 And Under Sweaters,$49 And Under Sweaters,Pumpkin Spice Knit Sweater - Oatmeal,XS,35.97,True,https://petalandpup.com/products/pumpkin-spice-knit-sweater-oatmeal
celaena-turtleneck-sleeveless-sweater-grey,$49 And Under Sweaters,$49 And Under Sweaters,Celaena Turtleneck Sleeveless Sweater - Grey,S,29.97,False,https://petalandpup.com/products/celaena-turtleneck-sleeveless-sweater-grey
katalina-fringe-crop-knit-sweater-black,$49 And Under Sweaters,$49 And Under Sweaters,Katalina Fringe Crop Knit Sweater - Black,S,48.97,True,https://petalandpup.com/products/katalina-fringe-crop-knit-sweater-black
gia-sweetheart-neck-bell-sleeve-knit-sweater-black,$49 And Under Sweaters,$49 And Under Sweaters,Gia Sweetheart Neck Bell Sleeve Knit Sweater - Black,XS,34.97,False,https://petalandpup.com/products/gia-sweetheart-neck-bell-sleeve-knit-sweater-black
noah-knit-sweater-light-heather-grey,$49 And Under Sweaters,$49 And Under Sweaters,Noah Knit Sweater - Light Heather Grey,XS,69.00,True,https://petalandpup.com/products/noah-knit-sweater-light-heather-grey
zimmer-cardigan-black,$49 And Under Sweaters,$49 And Under Sweaters,Zimmer Cardigan - Black,0,62.97,True,https://petalandpup.com/products/zimmer-cardigan-black
whistler-knit-sweater-black,$49 And Under Sweaters,$49 And Under Sweaters,Whistler Knit Sweater - Black,XS,43.97,True,https://petalandpup.com/products/whistler-knit-sweater-black
gia-sweatheart-neck-bell-sleeve-knit-sweater-white,$49 And Under Sweaters,$49 And Under Sweaters,Gia Sweetheart Neck Bell Sleeve Knit Sweater - White,XS,69.00,False,https://petalandpup.com/products/gia-sweatheart-neck-bell-sleeve-knit-sweater-white
fletcher-knit-white,$49 And Under Sweaters,$49 And Under Sweaters,Fletcher Knit Sweater - White,XS/S,59.00,False,https://petalandpup.com/products/fletcher-knit-white
cersi-knit-black,$49 And Under Sweaters,$49 And Under Sweaters,Cersi Knit Sweater - Black,XS,79.00,True,https://petalandpup.com/products/cersi-knit-black
leanna-vneck-knit-sweater-navy,$49 And Under Sweaters,$49 And Under Sweaters,Leanna Vneck Knit Sweater - Navy,XS,34.97,False,https://petalandpup.com/products/leanna-vneck-knit-sweater-navy
freddie-knit-green,$49 And Under Sweaters,$49 And Under Sweaters,Freddie Knit Sweater - Green,XS,29.97,False,https://petalandpup.com/products/freddie-knit-green
jemima-sweater-black,$49 And Under Sweaters,$49 And Under Sweaters,Jemima Sweater - Black,S/M,62.00,True,https://petalandpup.com/products/jemima-sweater-black
dominique-dress-pink,$49 Dress Sale,$49 Dress Sale,Dominique Dress - Pink,0,89.00,True,https://petalandpup.com/products/dominique-dress-pink
laurel-dress-navy,$49 Dress Sale,$49 Dress Sale,Laurel Dress - Navy,0,79.00,True,https://petalandpup.com/products/laurel-dress-navy
opal-dress-navy,$49 Dress Sale,$49 Dress Sale,Opal Dress - Navy,0,79.00,False,https://petalandpup.com/products/opal-dress-navy
newell-dress-orange,$49 Dress Sale,$49 Dress Sale,Newell Dress - Orange,XS,89.00,True,https://petalandpup.com/products/newell-dress-orange
tuscany-dress-baby-pink,$49 Dress Sale,$49 Dress Sale,Tuscany Dress - Baby Pink,XXS,69.00,True,https://petalandpup.com/products/tuscany-dress-baby-pink
madeira-dress-orange-floral,$49 Dress Sale,$49 Dress Sale,Madeira Dress - Orange Floral,XS,119.00,True,https://petalandpup.com/products/madeira-dress-orange-floral
cyprus-dress-rust,$49 Dress Sale,$49 Dress Sale,Cyprus Dress - Rust,0,59.00,False,https://petalandpup.com/products/cyprus-dress-rust
